,channel_id,dead_time_corr_type,dead_time,emitted_wave,tr_bins,full_overlap_range,background_low,background_high,telescope,channel_type,ch_mode,laser,bins,laser_pol,voltage,resol,ADC_range,ADC_bit,rep_rate,wave,ch_pol
0,619,,9.969209968386869e+36,355.,2020,200,100,500,x,p,0.0,2.0,6400.0,1.0,850.0,3.75,0.1,12.0,10.0,355.0,p
1,620,0,3.571,355.,2011,200,100,500,x,p,1.0,2.0,6400.0,1.0,850.0,3.75,3.1746,0.0,10.0,355.0,p
2,621,,9.969209968386869e+36,355.,2020,200,100,500,x,c,0.0,2.0,6400.0,1.0,850.0,3.75,0.1,12.0,10.0,355.0,s
3,622,0,4.545,355.,2011,200,100,500,x,c,1.0,2.0,6400.0,1.0,850.0,3.75,3.1746,0.0,10.0,355.0,s
4,623,,9.969209968386869e+36,355.,2020,200,100,500,x,v,0.0,2.0,6400.0,1.0,850.0,3.75,0.1,12.0,10.0,387.0,o
5,624,0,3.704,355.,2011,200,100,500,x,v,1.0,2.0,6400.0,1.0,850.0,3.75,3.1746,0.0,10.0,387.0,o
6,625,,9.969209968386869e+36,532.,2025,200,100,500,x,p,0.0,2.0,6400.0,1.0,850.0,3.75,0.1,12.0,10.0,532.0,p
7,626,0,3.167,532.,2014,200,100,500,x,p,1.0,2.0,6400.0,1.0,850.0,3.75,3.1746,0.0,10.0,532.0,p
8,627,,9.969209968386869e+36,532.,2025,200,100,500,x,c,0.0,2.0,6400.0,1.0,850.0,3.75,0.1,12.0,10.0,532.0,s
9,628,0,3.846,532.,2014,200,100,500,x,c,1.0,2.0,6400.0,1.0,850.0,3.75,3.1746,0.0,10.0,532.0,s
10,629,,9.969209968386869e+36,532.,2025,200,100,500,x,v,0.0,2.0,6400.0,1.0,850.0,3.75,0.1,12.0,10.0,607.0,o
11,630,0,3.846,532.,2014,200,100,500,x,v,1.0,2.0,6400.0,1.0,850.0,3.75,3.1746,0.0,10.0,607.0,o
